Report start year,100,Report stop year,299,(inclusive)
Government,Sink,StopC2,Market,BET,ASP,Reward,Ratio,Run,Expenditure,Income,Subsidy,Subsidy.Proportion,Bankruptcies,Land.Use.Change,Occupancy.LU.1,Occupancy.LU.2,Occupancy.LU.3,Occupancy.LU.4,Occupancy.LU.5,Occupancy.LU.6,Extinction.SPP.1,Extinction.SPP.2,Extinction.SPP.3,Extinction.SPP.4,Extinction.SPP.5,Extinction.SPP.6,Extinction.SPP.7,Extinction.SPP.8,Extinction.SPP.9,Extinction.SPP.10,Occupancy.SPP.1,Occupancy.SPP.2,Occupancy.SPP.3,Occupancy.SPP.4,Occupancy.SPP.5,Occupancy.SPP.6,Occupancy.SPP.7,Occupancy.SPP.8,Occupancy.SPP.9,Occupancy.SPP.10,Shannon,Equitability,Richness
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,17,808500,56.3556902261905,19.25,0.368678832178507,0,0,31,193,29,346,6,20,NA,NA,11,NA,NA,NA,NA,NA,NA,120,0.40144,0.39728,0,0.31584,0.89584,0.6352,0.57152,0.86832,0.85968,0.00064,1.34361466106023,8.89678647760968e-07,8
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,18,855000,51.8842357969432,18.6681222707424,0.379687119952216,0,0,36,196,7,374,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36944,0.36704,0.3536,0.3336,0.95808,0.6968,0.59504,0.9208,0.9104,0.0104,1.50122943088089,0.031422518677596,10
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,19,808500,56.3418463908873,19.3884892086331,0.369032171997965,0,0,43,185,23,354,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,0.39712,0.39568,0.38896,0.32096,0.9176,0.67104,0.58016,0.87008,0.85984,0.00128,1.48360003479505,1.73309745790086e-06,9
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,20,774000,54.4937528438228,18.041958041958,0.359038680287034,0,0,36,168,35,348,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,0.37104,0.36832,0.35584,0.26528,0.86976,0.63424,0.5952,0.83184,0.82336,0.00992,1.43409298725925,0.105594549139974,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,1,1002000,59.2644654513064,23.8004750593824,0.426769877203344,0,0,99,126,17,375,1,7,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0.3136,0.30848,0,0.3096,0.95104,0.79216,0.59472,0.7984,0.79872,0.07872,1.35698065263085,1.69490723371299e-06,9
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,2,996000,59.4444867780429,23.7708830548926,0.42654248422555,0,0,99,128,12,370,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31856,0.31504,0.2912,0.31104,0.94448,0.78592,0.60016,0.80064,0.79392,0.0664,1.46501972174599,0.270534918760002,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,3,1004000,57.897352349537,23.2407407407407,0.427342276866752,0,3.23232323232323e-05,91.5555555555556,124.444444444444,16,377.555555555556,4.44444444444444,11,NA,17,16,NA,NA,NA,NA,NA,NA,NA,0.31824,0,0,0.28912,0.93792,0.78048,0.60912,0.80592,0.80224,0.05552,1.2297113283215,8.53239989065128e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,4,974000,59.8105127995109,23.8141809290954,0.423569954933657,0,0,117,98,7,389,3,11,11,11,17,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.29632,0.95376,0.84128,0.6232,0.78,0.77728,0.12048,1.15737339278522,5.55554997151012e-07,7
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,5,966000,59.1137104939759,23.2771084337349,0.423013209353739,0,0,104,95,22,388,7,9,13,NA,11,NA,NA,NA,NA,NA,NA,NA,0,0.28096,0,0.2568,0.92496,0.80352,0.62464,0.78,0.77168,0.068,1.2285169727996,8.62067058477778e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,6,950000,59.4646716058394,23.1143552311436,0.417407520548743,0,4.84848484848485e-05,113.212121212121,111,23.7878787878788,364,7,6,NA,14,12,NA,NA,NA,NA,NA,NA,NA,0.28992,0,0,0.312,0.92784,0.78576,0.5784,0.76704,0.75792,0.11312,1.24111887235241,8.68053905292228e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,7,963520,59.8685639390244,23.500487804878,0.421497697573153,0,6.46464646464646e-05,99,90.7878787878788,24.2828282828283,391,7.92929292929293,12,16,19,22,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.22496,0.9176,0.8,0.63872,0.78,0.76912,0.09024,1.11691086230875,5.81732828273958e-07,7
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,8,1006880,59.6480938452381,23.9733333333333,0.426359287948407,0,3.23232323232323e-05,92.5555555555556,134.888888888889,9,368.555555555556,7,13,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0.31504,0.30928,0,0.316,0.94048,0.77808,0.59936,0.81232,0.80336,0.06832,1.35658100918555,1.69490697718045e-06,9
