scenario,aic.gam,bic.gam,ssq.gam,edf.gam,smooth.gam.P,score.gam,dev.expl.gam,aic.gam.k,bic.gam.k,ssq.gam.k,edf.gam.k,smooth.gam.k.P,score.gam.k,dev.expl.gam.k,aic.gam.ml,bic.gam.ml,ssq.gam.ml,edf.gam.ml,smooth.gam.ml.P,score.gam.ml,dev.expl.gam.ml,aic.gam.klm,bic.gam.klm,ssq.gam.klm,edf.gam.klm,smooth.gam.klm.P,score.gam.klm,dev.expl.gam.klm,aic.gam.bs,bic.gam.bs,ssq.gam.bs,edf.gam.bs,smooth.gam.bs.P,score.gam.bs,dev.expl.gam.bs,aic.lm,bic.lm,ssq.lm,diff.gam.k,diff.gam.ml,diff.gam.klm,diff.gam.bs,diff.lm,anova.gam.k.P,anova.gam.ml.P,anova.gam.klm.P,anova.gam.bs.P,anova.lm.P
CA/F/30/1,2264.52634422974,2302.61802390682,314.926376785689,8.66324518789895,2.20193306088774e-106,-0.898582093240066,0.929430956163863,2264.52634422974,2302.61802390682,314.926376785689,8.66324518789895,2.20193306088774e-106,-0.898582093240066,0.929430956163863,2267.03005779775,2304.64452054903,329.603887053774,7.69945169459348,8.82050993209076e-107,1139.554197913,0.925019554346136,2279.07606413719,2296.45483867571,434.263240778274,3.95247954851827,4.05026878775234e-109,-0.874332560060978,0.890564619978116,1328.68492157085,1375.63304351873,310.42299364282,9.67747852008121,0,0.534473809350857,0.922630197250139,2482.63481723374,2495.82560619939,2179.33983991776,0,48.267884473918,1038.30739451102,55.4278221810032,35107.7108963401,NA,0.0942591188645194,0.000167003384513767,NA,0
CA/F/30/5,1628.53794547245,1656.12243281852,489.041731279403,6.88096104010039,4.73020236190992e-63,-0.67087314824228,0.773291710388648,1628.53794547245,1656.12243281852,489.041731279403,6.88096104010039,4.73020236190992e-63,-0.67087314824228,0.773291710388648,1629.23846892153,1659.20167775938,486.615421857967,7.15068160456377,7.99766712226627e-62,819.959864760437,0.774208826612916,1646.22473618004,1662.16662672839,631.943652762782,3.97671076473183,2.04884411590649e-68,-0.627416660017227,0.728974734372121,1242.22949769974,1274.04525965606,484.974965682032,6.93645412858205,0,1.23326319390696,0.833093345516101,1702.15228272201,1714.17872227834,1538.22809472371,0,3.99791329172396,2697.38372737747,1468.0290195015,22056.3760033106,NA,0.143099813897364,2.82025039007484e-05,NA,0
CA/V/25/1,1989.34015577515,2032.00949239665,427.619243516164,9.80704605905379,2.77074710220883e-160,-0.582395908789562,0.820433685990435,1989.34015577515,2032.00949239665,427.619243516164,9.80704605905379,2.77074710220883e-160,-0.582395908789562,0.820433685990435,1990.28875658941,2032.96481908916,426.550804157614,9.52734798946769,1.18967541630552e-159,1008.65170686338,0.819660802927305,2063.27856223345,2080.62072079836,701.405720566893,3.98589153888312,5.46011523627259e-159,-0.453358550223581,0.750477842602704,1440.24830380536,1487.33942898856,398.916924778194,9.82334224553147,0,0.720688832064449,0.912312295378154,2305.6246269322,2318.67728408234,1856.25288090049,0,18.6240565653773,5433.70114766847,343.828956858428,29757.3628759512,NA,0.0878215271188019,1.93496925285509e-16,NA,0
CA/V/25/5,1478.38088968495,1508.79957460823,214.229016881205,7.44320080159184,1.47294821024038e-28,-0.876825278517011,0.799851597223104,1478.38088968495,1508.79957460823,214.229016881205,7.44320080159184,1.47294821024038e-28,-0.876825278517011,0.799851597223104,1480.55203319065,1510.74874741652,225.823809610351,6.5503425085928,2.9404598009473e-28,744.31604997587,0.788244187903291,1499.4622918402,1513.41707409067,347.075442115192,3.41461988559806,2.91869968394555e-25,-0.828913000891456,0.651493254688412,930.470902437784,974.187020592005,203.360782084904,9.69697281485581,3.01400065381574e-262,0.483249125946804,0.767379225234671,1279.05830049131,1291.31862467204,465.081184095641,0,104.481102172578,3648.29426979959,383.898679440996,8107.10020585218,NA,0.11338477753567,7.57369740520148e-06,NA,0
CA/V/30/1,2133.52200711971,2174.9459984856,422.66738542865,9.42111760117699,1.0339469839792e-97,-0.826916771733559,0.862850389104775,2133.52200711971,2174.9459984856,422.66738542865,9.42111760117699,1.0339469839792e-97,-0.826916771733559,0.862850389104775,2138.70985086838,2178.10404432139,445.326134298142,7.85299437358096,1.21353807109409e-97,1075.5139870189,0.852990833044634,2147.78039035375,2164.88667967176,508.245351102996,3.8905078451107,3.6891549940523e-100,-0.803152799676832,0.822000282668956,1511.02565554864,1558.30233887306,420.560355724724,9.75220370385841,0,0.72428723828908,0.861170657217219,2097.22234895411,2110.41313791976,1146.44734028492,0,148.436254299764,730.569783104903,40.3630395447462,12437.610704038,NA,0.0296232261360371,0.000197709834150116,NA,0
CA/V/30/5,2088.32807215158,2129.97119669872,343.235687395333,9.49265332267825,1.44949158677734e-79,-0.870224721905745,0.880253387355801,2088.32807215158,2129.97119669872,343.235687395333,9.49265332267825,1.44949158677734e-79,-0.870224721905745,0.880253387355801,2098.5931020809,2123.92890339243,427.088597205959,5.20780143154952,4.3248899938396e-79,1051.4316858251,0.843774465272854,2098.9540384302,2115.49469392302,448.042509498494,3.77048336383796,9.91455443052851e-82,-0.852335889786858,0.834766477989913,1394.05153665355,1441.81417466397,350.454799090698,9.88761156469639,0,0.610134555005041,0.855549344623303,1768.76162021303,1781.92225817111,676.28488054461,0,791.067511798857,1158.45244598369,50.0005633752298,5736.28485771908,NA,0.00183201748310193,0.00094111200810219,NA,0
CO/F/25/1,1092.4276509435,1119.52998895459,55.2432250157526,7.45637051109028,0.0129769924607755,-0.917225448236938,0.711460171295037,1092.4276509435,1119.52998895459,55.2432250157526,7.45637051109028,0.0129769924607755,-0.917225448236938,0.711460171295037,1099.94624154332,1107.22097534878,200.886667144345,2.00070924275476,0.164225563719574,547.973667672536,0.0680345884197908,1097.9132565611,1110.71818601307,161.355429707586,3.52288051027778,0.116241018548558,-0.897633999602646,0.245258508333308,251.836876892572,291.672063707041,37.2647701733149,9.95942025908082,1.61112263641058e-221,0.143086419089289,0.826974402219952,708.572579713867,719.476948523375,201.562664165103,0,15195.5918878217,10166.9393961386,808.874810879012,15260.3836549399,NA,0.00351612227770959,0.00916386272630258,NA,0
CO/F/25/5,1084.5370919809,1115.0722666717,67.7827965294763,8.40080940700692,7.99276189388562e-05,-0.902172047485345,0.79730178660368,1084.5370919809,1115.0722666717,67.7827965294763,8.40080940700692,7.99276189388562e-05,-0.902172047485345,0.79730178660368,1087.42669998249,1117.99244519838,86.6864894871915,7.41388936118718,0.000189028773393866,549.759509822703,0.742316201376754,1108.10061975606,1121.46757369187,273.744134968497,3.67750417359922,0.0701213490790277,-0.818016591145507,0.165482646218853,385.038638095104,424.821691520883,59.9716173355783,9.94507736873999,5.13729699982551e-206,0.230249977430865,0.816389996676376,832.041437412121,842.945806221629,313.268461538462,0,237.121494364098,9179.37077768621,1818.7103034715,13234.8551521182,NA,0.0884836132382194,2.7641718995373e-06,NA,0
CO/F/30/1,1073.15547817026,1105.49118444113,17.0460861142694,8.89617001288724,1.27588809890452e-09,-0.92712181375272,0.964535194662167,1073.15547817026,1105.49118444113,17.0460861142694,8.89617001288724,1.27588809890452e-09,-0.92712181375272,0.964535194662167,1078.07938095022,1105.89202500811,61.7842922292045,6.63508259603486,1.45195584001039e-08,543.509619870968,0.863948451672493,1093.12887430105,1107.44609881016,218.310832700547,3.93894174689784,5.35880322661951e-08,-0.855788256142757,0.558969578757796,-95.1511716895858,-55.2054915610698,10.7896594363609,9.98981907885027,0,0.0414386395165127,0.976420462659759,905.5567565322,916.461125341708,407.326566604128,0,1069.85312430304,5862.90224808484,691.017196375006,14007.1357694362,NA,0.0319323617249707,1.48438815629429e-05,NA,0
CO/F/30/5,995.280316451578,1024.58064316969,76.7613225428374,8.21999129473816,1.03625179262568e-20,-0.87535177829424,0.897956337065246,995.280316451578,1024.58064316969,76.7613225428374,8.21999129473816,1.03625179262568e-20,-0.87535177829424,0.897956337065246,997.120541981031,1025.34222960882,87.8251012352899,7.30491866173149,5.16165638823203e-20,506.006238159205,0.882450347031716,1029.75079152757,1043.92784159338,373.320218330235,3.97726719047112,2.17861799229254e-17,-0.743280992562453,0.625581740063224,385.310110718392,424.29579560811,61.5049544585019,9.93714733954936,0,0.254674633807326,0.930732882073645,1026.4864615494,1037.18002277137,762.462369111552,0,123.399370111982,7444.2743594255,6001.94163988477,31718.8081984775,NA,0.10498713643783,1.45817576716947e-08,NA,0
