"Government","Market","BET","ASP","Sink","StopC2","Reward","Ratio","Run","Expenditure","Income","Subsidy","Subsidy.Proportion","Bankruptcies","Land.Use.Change","Occupancy.LU.1","Occupancy.LU.2","Occupancy.LU.3","Occupancy.LU.4","Occupancy.LU.5","Occupancy.LU.6","Extinction.SPP.1","Extinction.SPP.2","Extinction.SPP.3","Extinction.SPP.4","Extinction.SPP.5","Extinction.SPP.6","Extinction.SPP.7","Extinction.SPP.8","Extinction.SPP.9","Extinction.SPP.10","Occupancy.SPP.1","Occupancy.SPP.2","Occupancy.SPP.3","Occupancy.SPP.4","Occupancy.SPP.5","Occupancy.SPP.6","Occupancy.SPP.7","Occupancy.SPP.8","Occupancy.SPP.9","Occupancy.SPP.10","Shannon","Equitability","Richness","TSNE.1.X","TSNE.1.Y","Incentive","Scenario","Scenario.ID"
"ClusterActivity","var2",25,1,0,1,1,1,1,2992,54.975803172043,0.0804301075268817,0.0019247961641147,0,0.0445252525252525,4.3030303030303,4.23232323232323,555.646464646465,13.9292929292929,31.959595959596,14.9292929292929,12,12,11,33,60,46,60,86,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA/V/25/1",1
"RewardActivity","var2",25,1,0,1,15,1,1,798000,58.9491022568578,19.9002493765586,0.363055562925704,0,0,38,207,36,325,6,13,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0.4352,0.43376,0,0.35888,0.89968,0.61552,0.52784,0.85808,0.84912,0.01328,1.36057560656829,1.78250478680274e-06,9,0,0,15,"A/V/25/1",17
